name,salary_from,salary_to,salary_currency,area_name,published_at
Токарь,35000.0,90000.0,RUR,Каменск-Уральский,2022-12-16T05:27:49+0300
Фрезеровщик,35000.0,35000.0,RUR,Томск,2022-12-16T05:14:26+0300
Наладчик оборудования в производстве стеновых и вяжущих материалов,60000.0,,RUR,Новосибирск,2022-12-16T05:27:53+0300
Монтажник-техник слаботочных систем,1.0,1.0,RUR,Якутск,2022-12-16T04:13:04+0300
Корреспондент,25000.0,26000.0,RUR,Владивосток,2022-12-16T05:13:47+0300
Механик/Специалист по БДД,45200.0,,RUR,Красноярск,2022-12-16T05:31:24+0300
Техник по обслуживанию зданий,,55000.0,RUR,Владивосток,2022-12-16T04:28:46+0300
Руководитель digital-проектов,55000.0,110000.0,RUR,Барнаул,2022-12-16T06:14:59+0300
Технический консультант центра клиентской поддержки,32000.0,,RUR,Кемерово,2022-12-16T05:02:47+0300
Оператор лазерной резки и гибки металла,50000.0,,RUR,Барнаул,2022-12-16T05:36:02+0300
Системный администратор,47000.0,,RUR,Чита,2022-12-16T04:13:57+0300
Специалист по описанию бизнес процессов,,,,Новосибирск,2022-12-16T06:27:12+0300
Senior/Lead Python-разработчик,,,,Иннополис,2022-12-16T05:15:31+0300
Руководитель интернет-проектов / Project Manager,,50000.0,RUR,Хабаровск,2022-12-16T06:39:35+0300
Мастер холодильного оборудования,53000.0,53000.0,RUR,Благовещенск (Амурская область),2022-12-16T06:37:09+0300
Бизнес-аналитик,,,,Новосибирск,2022-12-16T06:50:57+0300
Специалист ИТ отдела,45000.0,45000.0,RUR,Красноярск,2022-12-16T06:24:28+0300
Специалист 1С / Архитектор 1С (Администратор 1С),,,,Новокузнецк,2022-12-16T05:15:27+0300
VOIP инженер,,100000.0,RUR,Новосибирск,2022-12-16T04:54:42+0300
Фрезеровщик (Дзержинский район),55000.0,,RUR,Новосибирск,2022-12-16T05:42:43+0300
Оператор call-центра удаленная работа,40000.0,80000.0,RUR,Челябинск,2022-12-16T05:11:10+0300
Начинающий PHP Программист,40000.0,60000.0,RUR,Екатеринбург,2022-12-16T06:50:49+0300
Оператор станка с ЧПУ,50000.0,,RUR,Тюмень,2022-12-16T06:39:03+0300
Бизнес-аналитик,,,,Новосибирск,2022-12-16T04:46:42+0300
Менеджер продукта,,,,Пермь,2022-12-16T06:47:46+0300
Главный механик (Дизельные электростанции),50000.0,,RUR,Красноярск,2022-12-16T05:30:31+0300
Оператор станков с программным управлением,45000.0,45000.0,RUR,Томск,2022-12-16T05:14:26+0300
Программист 1С,,,,Москва,2022-12-16T04:09:23+0300
Фрезеровщик,45000.0,60000.0,RUR,Новокузнецк,2022-12-16T05:21:18+0300
Сервисный инженер ПНР (КОМАНДИРОВКИ),70000.0,90000.0,RUR,Новосибирск,2022-12-16T06:05:02+0300
Инженер по сопровождению,30000.0,,RUR,Иркутск,2022-12-16T06:37:19+0300
Долбежник,35000.0,90000.0,RUR,Каменск-Уральский,2022-12-16T05:27:50+0300
IT-аналитик,80000.0,,RUR,Томск,2022-12-16T05:49:48+0300
Сервис-инженер,40000.0,45000.0,RUR,Новосибирск,2022-12-16T05:35:15+0300
Ученик по ремонту и обслуживанию бытовой техники,90000.0,150000.0,RUR,Новосибирск,2022-12-16T05:34:23+0300
Инженер по информационной безопасности,150000.0,,RUR,Новосибирск,2022-12-16T06:10:00+0300
Станочник широкого профиля,65000.0,,RUR,Новокузнецк,2022-12-16T04:28:19+0300
Токарь,,,,Лесосибирск,2022-12-16T04:42:10+0300
Junior С# (ASP.NET/Xamarin) Developer,,,,Новосибирск,2022-12-16T06:18:53+0300
Бизнес-аналитик,,,,Москва,2022-12-16T04:49:34+0300
"Инженер по обслуживанию ОПС, СКУД, Видеонаблюдения",50000.0,50000.0,RUR,Барнаул,2022-12-16T06:29:17+0300
Разработчик уровня Middle,,,,Красноярск,2022-12-16T06:35:49+0300
Руководитель проекта 1С СRM в машиностроительную компанию,215000.0,,RUR,Москва,2022-12-16T06:28:51+0300
Главный механик,60000.0,,RUR,Барнаул,2022-12-16T05:02:58+0300
